artist_id,artist_name,country_origin
1,Gen Hoshino,JP
2,Ben Woodward,GB
3,Ingrid Michaelson,US
4,ZAYN,GB
5,Kina Grannis,US
6,Chord Overstreet,US
7,Tyrone Wells,US
8,A Great Big World,US
9,Jason Mraz,US
10,Ross Copperman,US
11,Zack Tabudlo,PH
12,Plastilina Mosh,MX
13,Jor'dan Armstrong,US
14,Jorge Drexler,UY
15,Buena Vista Social Club,CU
16,Fela Kuti,NG
17,Burna Boy,NG
18,Wizkid,NG
19,Davido,NG
20,Rema,NG
21,El Michels Affair,US
22,Haruki Sayama,JP
23,Ryoichi Fukuzawa,JP
24,Yuko Doi,JP
25,Music Creation,JP
26,Donald Duck,US
27,Goofy,US
28,Billboard Baby Lullabies,US
29,Cameron's Bedtime Classics,US
30,Germaine Franco,US
31,Lin-Manuel Miranda,US
32,Idina Menzel,US
33,Kristen Bell,US
34,Randy Newman,US
35,Jannicke Kruse,NO
36,Trond Teigen,NO
37,Debby van Dooren,DE
38,Tommy Amper,DE
39,Friedel Morgenstern,DE
40,David Ogden Stiers,US
41,Chie Nagatani,JP
42,Nina Flyer,US
43,Frank Churchill,US
44,Ed Plumb,US
45,Larry Morey,US
46,Oliver Wallace,US
47,Oficina G3,BR
48,Gerson Rufino,BR
49,Sérgio Lopes,BR
50,Kleber Lucas,BR
51,Trazendo a Arca,BR
52,Eyshila,BR
53,Damares,BR
54,Fernandinho,BR
55,Bruna Karla,BR
56,Eli Soares,BR
57,Shirley Carvalhaes,BR
58,Késia Soares,BR
59,Rose Nascimento,BR
60,Anderson Freire,BR
61,Aline Barros,BR
62,Regis Danese,BR
63,Cassiane,BR
64,Preto no Branco,BR
65,Gabriela Rocha,BR
66,Erasmo Carlos,BR
67,Chico Buarque,BR
68,Asu Maralman,TR
69,The Green,US
70,Yeni Türkü,TR
71,Sezen Aksu,TR
72,Ezginin Günlüğü,TR
73,Barış Manço,TR
74,Cem Karaca,TR
75,Erkin Koray,TR
76,Moğollar,TR
77,"Grover Washington, Jr.",US
78,Bill Withers,US
79,Michael Bublé,CA
80,Shankar,IN
81,Ehsaan,IN
82,Loy,IN
83,Alisha Chinai,IN
84,Shankar Mahadevan,IN
85,Gulzar,IN
86,Pritam,IN
87,Mohit Chauhan,IN
88,Vishal-Shekhar,IN
89,Vishal Dadlani,IN
90,Shekhar Ravjiani,IN
91,BTS,KR
92,Halsey,US
93,Norah Jones,US
94,Harris Jayaraj,IN
95,Sudha Ragunathan,IN
96,Raj Barman,IN
97,John Mayer,US
98,Taylor Swift,US
99,Ed Sheeran,GB
100,Justin Bieber,CA
101,Adele,GB
102,Bruno Mars,US
103,Coldplay,GB
104,Selena Gomez,US
105,The Weeknd,CA
